Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
1,Zero Date of Project,MIL,2022-09-27,2022-09-27,2022-09-27,2022-09-27,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
2,Milestones/ as per Work Schedule,MIL,2022-10-27,2026-09-25,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
3,Milestones: Basic Engineering,MIL,2022-10-27,2023-02-23,,,,1.2(Milestones/ as per Work Schedule)
4,Milestones: Detailed Engineering,MIL,2022-12-26,2024-02-18,,,,1.2(Milestones/ as per Work Schedule)
5,Milestone: Commencement of Manufacturing,MIL,2023-03-25,2023-03-25,,,,1.2(Milestones/ as per Work Schedule)
6,Ordering of Major BOIs,MIL,2023-03-26,2023-09-21,,,,1.2(Milestones/ as per Work Schedule)
7,Milestone: COMPLETION of Ordering of Balance BOIs,MIL,2025-01-21,2025-01-21,,,,1.2(Milestones/ as per Work Schedule)
8,Milestone: Establishment of Storage & pre-assembly yard,MIL,2023-01-30,2023-05-29,,,,1.2(Milestones/ as per Work Schedule)
9,Milestones: Supply of foundation materials for Boiler and Bunker Structures ,MIL,2023-03-29,2023-03-29,,,,1.2(Milestones/ as per Work Schedule)
10,Milestones: Commencement of supplies of Structures & Main Equipment,MIL,2023-06-28,2023-06-28,,,,1.2(Milestones/ as per Work Schedule)
11,Milestones: Boiler Erection Start,MIL,2023-09-26,2023-09-26,,,,1.2(Milestones/ as per Work Schedule)
12,Milestones: Ceiling Girder Lifting,MIL,2024-07-25,2024-07-25,,,,1.2(Milestones/ as per Work Schedule)
13,Milestones: Drainable Hydro Test ,MIL,2025-07-26,2025-07-26,,,,1.2(Milestones/ as per Work Schedule)
14,Milestones: Non Drainable Hydro test Readiness,MIL,2025-11-29,2025-11-29,,,,1.2(Milestones/ as per Work Schedule)
15,Milestones: Supply of Critical piping,MIL,2025-05-30,2025-05-30,,,,1.2(Milestones/ as per Work Schedule)
16,Milestones: Pre-Assembly/Erection of Critical piping,MIL,2024-03-25,2025-09-15,,,,1.2(Milestones/ as per Work Schedule)
17,Milestones: C&I  readiness for Boiler Light up,MIL,2026-01-19,2026-01-19,,,,1.2(Milestones/ as per Work Schedule)
18,Milestones: Boiler Light up & Chemical Cleaning,MIL,2026-01-24,2026-01-24,,,,1.2(Milestones/ as per Work Schedule)
19,Milestones: Supply of Coal Mills ,MIL,2023-10-27,2024-10-20,,,,1.2(Milestones/ as per Work Schedule)
20,Milestones: Steam Blowing start with Coal,MIL,2026-02-27,2026-02-27,,,,1.2(Milestones/ as per Work Schedule)
21,Milestones: Steam Blowing COMPLETION with Coal,MIL,2026-03-26,2026-03-26,,,,1.2(Milestones/ as per Work Schedule)
22,Milestones: Condenser Erection start,MIL,2024-07-31,2024-07-31,,,,1.2(Milestones/ as per Work Schedule)
23,Milestones: Turbine Erection start,MIL,2024-08-07,2024-08-07,,,,1.2(Milestones/ as per Work Schedule)
24,Milestones: Generator Stator lifting,MIL,2025-04-07,2025-04-07,,,,1.2(Milestones/ as per Work Schedule)
25,Milestone: Supply of CW Puddle flange,MIL,2024-03-19,2024-03-19,,,,1.2(Milestones/ as per Work Schedule)
26,Milestone: Supply of TG Embedment,MIL,2023-12-25,2023-12-25,,,,1.2(Milestones/ as per Work Schedule)
27,Milestone: Supply of EOT Crane,MIL,2024-02-11,2024-02-11,,,,1.2(Milestones/ as per Work Schedule)
28,Milestones: Turbine Box up,MIL,2025-09-25,2025-09-25,,,,1.2(Milestones/ as per Work Schedule)
29,Milestone: Turbine Oil flushing COMPLETION,MIL,2025-11-25,2025-11-25,,,,1.2(Milestones/ as per Work Schedule)
30,Milestones: Turbine on Barring gear,MIL,2026-01-26,2026-01-26,,,,1.2(Milestones/ as per Work Schedule)
31,Milestones: Synchronization on Coal,MIL,2026-05-26,2026-05-26,,,,1.2(Milestones/ as per Work Schedule)
32,Milestones: Full Load operation,MIL,2026-06-25,2026-06-25,,,,1.2(Milestones/ as per Work Schedule)
33,Milestones: COMPLETION of Trial Operation & PG test,MIL,2026-06-25,2026-07-24,,,,1.2(Milestones/ as per Work Schedule)
34,Milestones: COMPLETION of Major supplies,MIL,2026-01-11,2026-01-11,,,,1.2(Milestones/ as per Work Schedule)
35,Milestones: COMPLETION of all Supplies,MIL,2026-02-09,2026-02-09,,,,1.2(Milestones/ as per Work Schedule)
36,Milestones: COMPLETION of site delivery of all mandatory spares,MIL,2025-12-09,2025-12-09,,,,1.2(Milestones/ as per Work Schedule)
37,Milestones: COMPLETION of Facilities,MIL,2026-09-25,2026-09-25,,,,1.2(Milestones/ as per Work Schedule)
38,Readiness of Major Civil Foundation,CIV,2023-06-27,2025-07-27,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
39,Readiness of Major Civil Foundation: Boiler Foundation,CIV,2023-09-25,2023-09-25,,,,1.3(Readiness of Major Civil Foundation)
40,Readiness of Major Civil Foundation: ESP Foundation,CIV,2023-12-22,2023-12-22,,,,1.3(Readiness of Major Civil Foundation)
41,Readiness of Major Civil Foundation: Commencement of Excavation for TG Building,CIV,2023-06-27,2023-06-27,,,,1.3(Readiness of Major Civil Foundation)
42,Readiness of Major Civil Foundation: Casting of TG Raft,CIV,2023-08-31,2023-08-31,,,,1.3(Readiness of Major Civil Foundation)
43,Readiness of Major Civil Foundation: Casting of TG Deck,CIV,2024-04-07,2024-04-07,,,,1.3(Readiness of Major Civil Foundation)
44,Readiness of Major Civil Foundation: Readiness of TG Deck with EOT crane and approach,CIV,2024-08-06,2024-08-06,,,,1.3(Readiness of Major Civil Foundation)
45,Readiness of Major Civil Foundation: Condenser Foundation,CIV,2024-02-23,2024-02-23,,,,1.3(Readiness of Major Civil Foundation)
46,Readiness of Major Civil Foundation: ID Fan Foundation,CIV,2024-06-27,2024-06-27,,,,1.3(Readiness of Major Civil Foundation)
47,Readiness of Major Civil Foundation: FD Fan Foundation,CIV,2025-07-09,2025-07-09,,,,1.3(Readiness of Major Civil Foundation)
48,Readiness of Major Civil Foundation: PA Fan Foundation,CIV,2025-07-27,2025-07-27,,,,1.3(Readiness of Major Civil Foundation)
49,Readiness of Major Civil Foundation: SA Fan Foundation,CIV,2025-07-09,2025-07-09,,,,1.3(Readiness of Major Civil Foundation)
50,Readiness of Major Civil Foundation: Mill Foundation,CIV,2024-09-15,2024-09-15,,,,1.3(Readiness of Major Civil Foundation)
51,Readiness of Major Civil Foundation: Bunker Bay Foundation,CIV,2023-09-27,2025-01-04,,,,1.3(Readiness of Major Civil Foundation)
52,Readiness of Major Civil Foundation: MDBFP Foundation,CIV,2025-01-07,2025-01-07,,,,1.3(Readiness of Major Civil Foundation)
53,Readiness of Major Civil Foundation: TDBFP Foundation,CIV,2025-02-07,2025-02-07,,,,1.3(Readiness of Major Civil Foundation)
54,Readiness of Major Civil Foundation: CEP Foundation,CIV,2024-08-05,2024-08-05,,,,1.3(Readiness of Major Civil Foundation)
55,Readiness of Major Civil Foundation: BOF-ESP Duct Foundation,CIV,2025-04-20,2025-04-20,,,,1.3(Readiness of Major Civil Foundation)
56,Readiness of Major Civil Foundation: ESP-ID Duct Foundation,CIV,2024-09-26,2024-09-26,,,,1.3(Readiness of Major Civil Foundation)
57,Readiness of Major Civil Foundation: ID-Chimney Duct Foundation,CIV,2024-11-27,2024-11-27,,,,1.3(Readiness of Major Civil Foundation)
58,Readiness of Major Civil Foundation: GT Foundation,CIV,2024-09-09,2024-09-09,,,,1.3(Readiness of Major Civil Foundation)
59,Readiness of Major Civil Foundation: ST Foundation,CIV,2025-02-20,2025-02-20,,,,1.3(Readiness of Major Civil Foundation)
60,Readiness of Major Civil Foundation: UAT Foundation,CIV,2025-01-01,2025-01-01,,,,1.3(Readiness of Major Civil Foundation)
61,Readiness of Major Civil Foundation: SAT Foundation,CIV,2025-01-03,2025-01-03,,,,1.3(Readiness of Major Civil Foundation)
62,Readiness of Major Civil Foundation: SPBD Foundation,CIV,2025-04-22,2025-04-22,,,,1.3(Readiness of Major Civil Foundation)
63,Readiness of Major Civil Foundation: IPBD Foundation,CIV,2025-02-22,2025-02-22,,,,1.3(Readiness of Major Civil Foundation)
64,Readiness of Major Equipment and system,OTH,2025-02-20,2026-06-20,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
65,Readiness of Major Equipment and system: DMCW System,OTH,2025-08-19,2025-08-19,,,,1.4(Readiness of Major Equipment and system)
66,Readiness of Major Equipment and system: First ID Fan,OTH,2025-12-31,2025-12-31,,,,1.4(Readiness of Major Equipment and system)
67,Readiness of Major Equipment and system: Second ID Fan,OTH,2026-03-31,2026-03-31,,,,1.4(Readiness of Major Equipment and system)
68,Readiness of Major Equipment and system: First FD Fan,OTH,2025-12-09,2025-12-09,,,,1.4(Readiness of Major Equipment and system)
69,Readiness of Major Equipment and system: Second FD Fan,OTH,2026-02-03,2026-02-03,,,,1.4(Readiness of Major Equipment and system)
70,Readiness of Major Equipment and system: First APH,OTH,2025-11-29,2025-11-29,,,,1.4(Readiness of Major Equipment and system)
71,Readiness of Major Equipment and system: Second APH,OTH,2026-02-01,2026-02-01,,,,1.4(Readiness of Major Equipment and system)
72,Readiness of Major Equipment and system: Second PA Fan,OTH,2026-03-06,2026-03-06,,,,1.4(Readiness of Major Equipment and system)
73,Readiness of Major Equipment and system: First PA Fan,OTH,2026-02-19,2026-02-19,,,,1.4(Readiness of Major Equipment and system)
74,Readiness of Major Equipment and system: SA Fan,OTH,2026-05-01,2026-05-01,,,,1.4(Readiness of Major Equipment and system)
75,Readiness of Major Equipment and system: MDBFP,OTH,2025-09-17,2025-09-17,,,,1.4(Readiness of Major Equipment and system)
76,Readiness of Major Equipment and system: CEP,OTH,2025-11-18,2025-11-18,,,,1.4(Readiness of Major Equipment and system)
77,Readiness of Major Equipment and system: TDBFP,OTH,2026-04-18,2026-04-18,,,,1.4(Readiness of Major Equipment and system)
78,"Readiness of Major Equipment and system: Service transformer, Aux transformer Charging",OTH,2025-05-24,2025-05-24,,,,1.4(Readiness of Major Equipment and system)
79,Readiness of Major Equipment and system: DCS Panel Charging,OTH,2025-10-27,2025-10-27,,,,1.4(Readiness of Major Equipment and system)
80,Readiness of Major Equipment and system: C&I for BLU (Gun Trial of AB Elevation),OTH,2025-12-19,2025-12-19,,,,1.4(Readiness of Major Equipment and system)
81,Readiness of Major Equipment and system: C&I for Chemical Cleaning (Gun Trial CD elevation),OTH,2025-11-25,2025-11-25,,,,1.4(Readiness of Major Equipment and system)
82,Readiness of Major Equipment and system: C&I for SB,OTH,2025-12-25,2025-12-25,,,,1.4(Readiness of Major Equipment and system)
83,Readiness of Major Equipment and system: C&I for Sync,OTH,2026-04-27,2026-04-27,,,,1.4(Readiness of Major Equipment and system)
84,Readiness of Major Equipment and system: C&I for Full Loading,OTH,2025-06-03,2025-06-03,,,,1.4(Readiness of Major Equipment and system)
85,Readiness of Major Equipment and system: Mills,OTH,2025-11-15,2025-11-15,,,,1.4(Readiness of Major Equipment and system)
86,Readiness of Major Equipment and system: Feeders ,OTH,2025-11-20,2025-11-20,,,,1.4(Readiness of Major Equipment and system)
87,Readiness of Major Equipment and system: Scanner FAN,OTH,2025-11-02,2025-11-02,,,,1.4(Readiness of Major Equipment and system)
88,Readiness of Major Equipment and system: Soot Blowing System,OTH,2025-08-18,2025-08-18,,,,1.4(Readiness of Major Equipment and system)
89,Readiness of Major Equipment and system: ESP Charging,OTH,2025-12-20,2025-12-20,,,,1.4(Readiness of Major Equipment and system)
90,Readiness of Major Equipment and system: COMPLETION of Main Boiler Structure work,OTH,2025-02-20,2025-02-20,,,,1.4(Readiness of Major Equipment and system)
91,Readiness of Major Equipment and system: DM Plant for HT,OTH,2025-02-20,2025-02-20,,,,1.4(Readiness of Major Equipment and system)
92,Readiness of Major Equipment and system: Complete DM Plant,OTH,2025-07-20,2025-07-20,,,,1.4(Readiness of Major Equipment and system)
93,Readiness of Major Equipment and system: Compressed air system,OTH,2025-10-24,2025-10-24,,,,1.4(Readiness of Major Equipment and system)
94,Readiness of Major Equipment and system: Air conditioning system,OTH,2026-01-19,2026-01-19,,,,1.4(Readiness of Major Equipment and system)
95,Readiness of Major Equipment and system: Cooling Tower,OTH,2025-11-25,2025-11-25,,,,1.4(Readiness of Major Equipment and system)
96,Readiness of Major Equipment and system: Chimney for BLU,OTH,2025-09-01,2025-09-01,,,,1.4(Readiness of Major Equipment and system)
97,Readiness of Major Equipment and system: Complete Chimney,OTH,2025-11-30,2025-11-30,,,,1.4(Readiness of Major Equipment and system)
98,Readiness of Major Equipment and system: Ventilation system,OTH,2026-03-26,2026-03-26,,,,1.4(Readiness of Major Equipment and system)
99,Readiness of Major Equipment and system: FPS for BLU,OTH,2026-01-05,2026-01-05,,,,1.4(Readiness of Major Equipment and system)
100,Readiness of Major Equipment and system: Completed FPS,OTH,2026-04-15,2026-04-15,,,,1.4(Readiness of Major Equipment and system)
101,Readiness of Major Equipment and system: DG set,OTH,2025-08-27,2025-08-27,,,,1.4(Readiness of Major Equipment and system)
102,Readiness of Major Equipment and system: CPU,OTH,2026-02-24,2026-02-24,,,,1.4(Readiness of Major Equipment and system)
103,Readiness of Major Equipment and system: ACW,OTH,2025-11-04,2025-11-04,,,,1.4(Readiness of Major Equipment and system)
104,Readiness of Major Equipment and system: CW,OTH,2025-07-13,2025-07-13,,,,1.4(Readiness of Major Equipment and system)
105,Readiness of Major Equipment and system: Fuel Oil system,OTH,2025-11-17,2025-11-17,,,,1.4(Readiness of Major Equipment and system)
106,Readiness of Major Equipment and system: Bunker,OTH,2025-06-23,2025-06-23,,,,1.4(Readiness of Major Equipment and system)
107,Readiness of Major Equipment and system: WTP,OTH,2025-02-20,2025-02-20,,,,1.4(Readiness of Major Equipment and system)
108,Readiness of Major Equipment and system: STP,OTH,2026-06-14,2026-06-14,,,,1.4(Readiness of Major Equipment and system)
109,Readiness of Major Equipment and system: MRS,OTH,2026-06-20,2026-06-20,,,,1.4(Readiness of Major Equipment and system)
110,Readiness of Major Equipment and system: CHP,OTH,2026-01-26,2026-01-26,,,,1.4(Readiness of Major Equipment and system)
111,Readiness of Major Equipment and system: AHP,OTH,2025-02-20,2025-02-20,,,,1.4(Readiness of Major Equipment and system)
112,Readiness of Major Equipment and system: FGD,OTH,2026-05-18,2026-05-18,,,,1.4(Readiness of Major Equipment and system)
113,CUSTOMER Inputs,CUST,2022-09-27,2025-11-25,2022-09-27,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
114,CUSTOMER INPUTS: LAND (FREE FROM ALL ENCUMBRANCES),CUST,2022-09-27,2022-11-25,2022-09-27,,,1.5(CUSTOMER Inputs)
115,APPROACH ROAD UPTO THE MAIN PLANT,CUST,2022-09-27,2022-09-27,2022-09-27,,,1.5(CUSTOMER Inputs)
116,CUSTOMER INPUTS: CONSTRUCTION WATER ,CUST,2022-10-11,2022-10-11,,,,1.5(CUSTOMER Inputs)
117,CUSTOMER INPUTS: CONSTRUCTION POWER SOURCE,CUST,2022-10-11,2022-10-11,,,,1.5(CUSTOMER Inputs)
118,CUSTOMER INPUTS:  AVAILABILITY OF START-UP POWER ,CUST,2025-01-25,2025-01-25,,,,1.5(CUSTOMER Inputs)
119,CUSTOMER INPUTS: RAW WATER AVAILABILITY UPTO THE TERMINAL POINT OF PLANT ,CUST,2024-12-26,2024-12-26,,,,1.5(CUSTOMER Inputs)
120,CUSTOMER INPUTS: FUEL OIL AVAILABILITY ,CUST,2025-08-27,2025-08-27,,,,1.5(CUSTOMER Inputs)
121,CUSTOMER INPUTS: LIMESTONE AVAILABILITY ,CUST,2025-09-27,2025-09-27,,,,1.5(CUSTOMER Inputs)
122,CUSTOMER INPUTS: COAL AVAILABILITY ,CUST,2025-11-25,2025-11-25,,,,1.5(CUSTOMER Inputs)
123,CUSTOMER INPUTS: AVAILABILITY OF POWER EVACUATION ,CUST,2025-08-17,2025-08-17,,,,1.5(CUSTOMER Inputs)
124,Award of Sub-Contracts by PS-Region,PRC,2022-09-27,2024-11-15,2022-08-24,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
125,"Construction power package including construction lighting in plant, construction water, steel yard",PRC,2022-09-27,2022-11-10,2022-08-24,2022-12-20,,1.6(Award of Sub-Contracts by PS-Region)
126,NIT,ENQ,2022-09-27,2022-09-27,2022-08-24,2022-08-24,,"1.6.1(Construction power package including construction lighting in plant, construction water, steel yard)"
127,LOI,ORD,2022-09-27,2022-10-26,2022-09-19,2022-12-08,,"1.6.1(Construction power package including construction lighting in plant, construction water, steel yard)"
128,MOBILIZATION BY AGENCY AT SITE,ORD,2022-10-27,2022-11-10,2022-12-14,2022-12-20,,"1.6.1(Construction power package including construction lighting in plant, construction water, steel yard)"
129,Enabling work,PRC,2022-11-25,2023-02-08,2022-08-24,2022-12-20,,1.6(Award of Sub-Contracts by PS-Region)
130,NIT,ENQ,2022-11-25,2022-11-25,2022-08-24,2022-08-24,,1.6.2(Enabling work)
131,LOI,ORD,2022-11-26,2023-01-24,2022-09-19,2022-12-08,,1.6.2(Enabling work)
132,MOBILIZATION BY AGENCY AT SITE,ORD,2023-01-25,2023-02-08,2022-12-14,2022-12-20,,1.6.2(Enabling work)
133,Civil,PRC,2022-10-06,2023-09-06,2022-11-03,,,1.6(Award of Sub-Contracts by PS-Region)
134,Dismantling work of above ground facility,PRC,2022-10-06,2022-12-20,2022-11-24,,,1.6.3(Civil)
135,NIT,ENQ,2022-10-06,2022-10-06,2022-11-24,2022-11-24,,1.6.3.1(Dismantling work of above ground facility)
136,LOI,ORD,2022-10-07,2022-12-05,2022-12-08,2022-12-18,,1.6.3.1(Dismantling work of above ground facility)
137,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-06,2022-12-20,,,,1.6.3.1(Dismantling work of above ground facility)
138,Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,PRC,2022-10-26,2023-01-14,2022-12-20,,,1.6.3(Civil)
139,NIT,ENQ,2022-10-26,2022-10-26,2022-12-20,2022-12-20,,1.6.3.2(Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package)
140,LOI,ORD,2022-10-27,2022-12-25,,,,1.6.3.2(Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package)
141,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-26,2023-01-14,,,,1.6.3.2(Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package)
142,Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,PRC,2022-10-26,2023-02-28,,,,1.6.3(Civil)
143,NIT,ENQ,2022-10-26,2022-10-26,,,,1.6.3.3(Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work)
144,LOI,ORD,2022-10-27,2022-12-25,,,,1.6.3.3(Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work)
145,MOBILIZATION BY AGENCY AT SITE,ORD,2023-02-09,2023-02-28,,,,1.6.3.3(Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work)
146,Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work,OTH,2022-11-25,2023-03-30,2022-11-22,,,1.6.3(Civil)
147,NIT,ENQ,2022-11-25,2022-11-25,2022-11-22,2022-11-22,,1.6.3.4(Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work)
148,LOI,ORD,2022-11-26,2023-01-24,,,,1.6.3.4(Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work)
149,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,,,1.6.3.4(Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work)
150,Civil for Coal Handling Plant (CHP),OTH,2022-11-25,2023-03-30,2022-11-09,,,1.6.3(Civil)
151,NIT,ENQ,2022-11-25,2022-11-25,2022-11-09,2022-11-09,,1.6.3.5(Civil for Coal Handling Plant (CHP))
152,LOI,ORD,2022-11-26,2023-01-24,,,,1.6.3.5(Civil for Coal Handling Plant (CHP))
153,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,,,1.6.3.5(Civil for Coal Handling Plant (CHP))
154,Civil for Ash Handling Plant (AHP),PRC,2023-04-24,2023-08-27,2023-01-03,,,1.6.3(Civil)
155,NIT,ENQ,2023-04-24,2023-04-24,2023-01-03,2023-01-03,,1.6.3.6(Civil for Ash Handling Plant (AHP))
156,LOI,ORD,2023-04-25,2023-06-23,,,,1.6.3.6(Civil for Ash Handling Plant (AHP))
157,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-08,2023-08-27,,,,1.6.3.6(Civil for Ash Handling Plant (AHP))
158,NDCT cooling Tower,PRC,2022-11-25,2023-03-30,2022-11-26,,,1.6.3(Civil)
159,NIT,ENQ,2022-11-25,2022-11-25,2022-11-26,2022-11-26,,1.6.3.7(NDCT cooling Tower)
160,LOI,ORD,2022-11-26,2023-01-24,,,,1.6.3.7(NDCT cooling Tower)
161,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,,,1.6.3.7(NDCT cooling Tower)
162,Balance BOPs civil,PRC,2023-04-24,2023-07-13,,,,1.6.3(Civil)
163,NIT,ENQ,2023-04-24,2023-04-24,,,,1.6.3.8(Balance BOPs civil)
164,LOI,ORD,2023-04-25,2023-06-23,,,,1.6.3.8(Balance BOPs civil)
165,MOBILIZATION BY AGENCY AT SITE,ORD,2023-06-24,2023-07-13,,,,1.6.3.8(Balance BOPs civil)
166,Civil agency for Chimney,PRC,2022-11-25,2023-04-09,2022-11-03,,,1.6.3(Civil)
167,NIT,ENQ,2022-11-25,2022-11-25,2022-11-03,2022-11-03,,1.6.3.9(Civil agency for Chimney)
168,LOI,ORD,2022-11-26,2023-02-03,2022-11-28,2022-12-26,,1.6.3.9(Civil agency for Chimney)
169,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-21,2023-04-09,,,,1.6.3.9(Civil agency for Chimney)
170,Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work,PRC,2023-04-24,2023-09-06,,,,1.6.3(Civil)
171,NIT,ENQ,2023-04-24,2023-04-24,,,,1.6.3.10(Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work)
172,LOI,ORD,2023-04-25,2023-07-03,,,,1.6.3.10(Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work)
173,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-18,2023-09-06,,,,1.6.3.10(Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work)
174,Mechanical,PRC,2023-03-25,2024-07-27,,,,1.6(Award of Sub-Contracts by PS-Region)
175,"Mechanical ? Boiler, Aux Boiler & Bunker",PRC,2023-06-03,2023-09-21,,,,1.6.4(Mechanical)
176,NIT,ENQ,2023-06-03,2023-06-03,,,,"1.6.4.1(Mechanical ? Boiler, Aux Boiler & Bunker)"
177,LOI,ORD,2023-06-04,2023-09-01,,,,"1.6.4.1(Mechanical ? Boiler, Aux Boiler & Bunker)"
178,MOBILIZATION BY AGENCY AT SITE,ORD,2023-09-02,2023-09-21,,,,"1.6.4.1(Mechanical ? Boiler, Aux Boiler & Bunker)"
179,Mechanical ? ESP & FGD,PRC,2023-07-08,2023-10-26,,,,1.6.4(Mechanical)
180,NIT,ENQ,2023-07-08,2023-07-08,,,,1.6.4.2(Mechanical ? ESP & FGD)
181,LOI,ORD,2023-07-09,2023-10-06,,,,1.6.4.2(Mechanical ? ESP & FGD)
182,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-07,2023-10-26,,,,1.6.4.2(Mechanical ? ESP & FGD)
183, Power Cycle Piping ,PRC,2024-02-08,2024-07-27,,,,1.6.4(Mechanical)
184,NIT,ENQ,2024-02-08,2024-02-08,,,,1.6.4.3( Power Cycle Piping )
185,LOI,ORD,2024-02-09,2024-07-07,,,,1.6.4.3( Power Cycle Piping )
186,MOBILIZATION BY AGENCY AT SITE,ORD,2024-07-08,2024-07-27,,,,1.6.4.3( Power Cycle Piping )
187,Steam Turbine & Generator,PRC,2024-02-09,2024-05-29,,,,1.6.4(Mechanical)
188,NIT,ENQ,2024-02-09,2024-02-09,,,,1.6.4.4(Steam Turbine & Generator)
189,LOI,ORD,2024-02-10,2024-05-09,,,,1.6.4.4(Steam Turbine & Generator)
190,MOBILIZATION BY AGENCY AT SITE,ORD,2024-05-10,2024-05-29,,,,1.6.4.4(Steam Turbine & Generator)
191,Structure:- Power House,PRC,2023-03-25,2023-06-13,,,,1.6.4(Mechanical)
192,NIT,ENQ,2023-03-25,2023-03-25,,,,1.6.4.5(Structure:- Power House)
193,LOI,ORD,2023-03-26,2023-05-24,,,,1.6.4.5(Structure:- Power House)
194,MOBILIZATION BY AGENCY AT SITE,ORD,2023-05-25,2023-06-13,,,,1.6.4.5(Structure:- Power House)
195,Structure:- CHP,PRC,2023-08-22,2023-11-10,,,,1.6.4(Mechanical)
196,NIT,ENQ,2023-08-22,2023-08-22,,,,1.6.4.6(Structure:- CHP)
197,LOI,ORD,2023-08-23,2023-10-21,,,,1.6.4.6(Structure:- CHP)
198,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-22,2023-11-10,,,,1.6.4.6(Structure:- CHP)
199,Structure:- FGD+AHP+Pipe Rack,PRC,2023-11-30,2024-02-18,,,,1.6.4(Mechanical)
200,NIT,ENQ,2023-11-30,2023-11-30,,,,1.6.4.7(Structure:- FGD+AHP+Pipe Rack)
201,LOI,ORD,2023-12-01,2024-01-29,,,,1.6.4.7(Structure:- FGD+AHP+Pipe Rack)
202,MOBILIZATION BY AGENCY AT SITE,ORD,2024-01-30,2024-02-18,,,,1.6.4.7(Structure:- FGD+AHP+Pipe Rack)
203,Electrical & Cabling Pkg ,PRC,2024-06-28,2024-10-16,,,,1.6(Award of Sub-Contracts by PS-Region)
204,NIT,ENQ,2024-06-28,2024-06-28,,,,1.6.5(Electrical & Cabling Pkg )
205,LOI,ORD,2024-06-29,2024-09-26,,,,1.6.5(Electrical & Cabling Pkg )
206,MOBILIZATION BY AGENCY AT SITE,ORD,2024-09-27,2024-10-16,,,,1.6.5(Electrical & Cabling Pkg )
207,C&I Pkg ,PRC,2024-07-28,2024-11-15,,,,1.6(Award of Sub-Contracts by PS-Region)
208,NIT,ENQ,2024-07-28,2024-07-28,,,,1.6.6(C&I Pkg )
209,LOI,ORD,2024-07-29,2024-10-26,,,,1.6.6(C&I Pkg )
210,MOBILIZATION BY AGENCY AT SITE,ORD,2024-10-27,2024-11-15,,,,1.6.6(C&I Pkg )
211,Topographical Survey and Soil Investigation,ENG,2022-09-27,2022-10-26,2022-09-27,2022-11-26,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
212,Topographical Survey and Soil Investigation: Work COMPLETION and Report Submission,ENG,2022-09-27,2022-10-26,2022-09-27,2022-11-26,,1.7(Topographical Survey and Soil Investigation)
