Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
3324,Dispatch,DIS,2024-05-19,2024-07-17,,,50510,1.9.8.1.1.27(STEAM COIL APH (PGMA-50510)- BOI)
3325,Erection,ERC,2025-05-21,2026-01-01,,,,1.9.8(APH)
3326, First APH,ERC,2025-05-21,2025-11-13,,,,1.9.8.2(Erection)
3327,Preparatory works,ERC,2025-05-21,2025-05-27,,,,1.9.8.2.1( First APH)
3328,Main pedestal Erection,ERC,2025-05-28,2025-06-04,,,,1.9.8.2.1( First APH)
3329,Erection of Connecting plates cold & hot end and rotor ASSY,ERC,2025-06-05,2025-06-24,,,,1.9.8.2.1( First APH)
3330,Guide bearings and side panels erection,ERC,2025-06-25,2025-07-16,,,,1.9.8.2.1( First APH)
3331,Erection of Module,ERC,2025-07-17,2025-07-31,,,,1.9.8.2.1( First APH)
3332,"Erection of Rotor drive ASSY-Spacer bar, pin rack and T bar",ERC,2025-08-01,2025-09-09,,,,1.9.8.2.1( First APH)
3333,Seal setting - Axial and radial,OTH,2025-09-10,2025-10-09,,,,1.9.8.2.1( First APH)
3334,Erection of Lube oil system,ERC,2025-10-10,2025-10-29,,,,1.9.8.2.1( First APH)
3335,"Erection of Support systems cleaning device, sensors, alarms etc",ERC,2025-10-30,2025-11-13,,,,1.9.8.2.1( First APH)
3336, Second APH,ERC,2025-06-27,2026-01-01,,,,1.9.8.2(Erection)
3337,Preparatory works,ERC,2025-06-27,2025-07-03,,,,1.9.8.2.2( Second APH)
3338,Main ASSY,ERC,2025-07-04,2025-07-11,,,,1.9.8.2.2( Second APH)
3339,Erection of Connecting plates cold & hot end and rotor ASSY,ERC,2025-07-12,2025-07-31,,,,1.9.8.2.2( Second APH)
3340,Guide bearings and side ASSY,ERC,2025-08-01,2025-08-22,,,,1.9.8.2.2( Second APH)
3341,Erection of Module,ERC,2025-08-23,2025-09-06,,,,1.9.8.2.2( Second APH)
3342,"Erection of Rotor drive ASSY-Spacer bar, pin rack and T bar",ERC,2025-09-07,2025-10-21,,,,1.9.8.2.2( Second APH)
3343,Seal setting - Axial and radial,ERC,2025-10-22,2025-11-25,,,,1.9.8.2.2( Second APH)
3344,Erection of Lube oil system,ERC,2025-11-26,2025-12-17,,,,1.9.8.2.2( Second APH)
3345,"Erection of Support systems cleaning device, sensors, alarms etc",ERC,2025-12-18,2026-01-01,,,,1.9.8.2.2( Second APH)
3346,Various Fans,CIV,2023-01-15,2026-04-30,,,,1.9(Boiler & Auxiliaries)
3347, Rel of DWG for FD Fan,PE - RFC,2023-10-31,2023-10-31,,,PCE-00410,1.9.9(Various Fans)
3348, Rel of DWG for ID Fan,PE - RFC,2023-11-10,2023-11-10,,,PCE-00420,1.9.9(Various Fans)
3349, Rel of DWG for PA Fan,PE - RFC,2023-07-23,2023-07-23,,,PCE-00430,1.9.9(Various Fans)
3350, Rel of DWG for SA Fan,PE - RFC,2023-10-31,2023-10-31,,,PCE-00440,1.9.9(Various Fans)
3351,Civil Work,CIV,2023-08-13,2025-07-27,,,,1.9.9(Various Fans)
3352,First ID Fan foundations,CIV,2024-01-03,2024-05-27,,,,1.9.9.5(Civil Work)
3353,Excavation,CIV,2024-01-03,2024-01-18,,,,1.9.9.5.1(First ID Fan foundations)
3354,RCC Bottom Raft including PCC,CIV,2024-01-19,2024-02-12,,,,1.9.9.5.1(First ID Fan foundations)
3355,RCC wall,CIV,2024-02-13,2024-03-18,,,,1.9.9.5.1(First ID Fan foundations)
3356,RCC Top Deck,CIV,2024-03-19,2024-05-02,,,,1.9.9.5.1(First ID Fan foundations)
